"Town","FIPS","Year","Grade","Race","SubsidizedMealEligibility","LanguageTrack","Disability","MeasureType","Variable","Value"
"Griswold","0901133900",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.31
"Groton","0901134250",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.35
"Guilford","0900934950",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.16
"Haddam","0900735230",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.47
"Hamden","0900935650",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",13
"Hampton","0901536000",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.83
"Hartford","0900337070",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",26.55
"Hartland","0900337140",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.86
"Harwinton","0900537280",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.78
"Hebron","0901337910",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.7
"Kent","0900540290",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.79
"Killingly","0901540500",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.24
"Killingworth","0900740710",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.47
"Lebanon","0901142390",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.93
"Ledyard","0901142600",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.08
"Lisbon","0901143230",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.9
"Litchfield","0900543370",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.53
"Lyme","0901144210",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.61
"Madison","0900944560",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.98
"Manchester","0900344700",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",21.23
"Mansfield","0901344910",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.01
"Marlborough","0900345820",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.14
"Meriden","0900946520",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.14
"Middlebury","0900946940",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.48
"Middlefield","0900747080",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.4
"Middletown","0900747360",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.32
"Milford","0900947535",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.34
"Monroe","0900148620",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.22
"Montville","0901148900",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.12
"Morris","0900549460",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.26
"Naugatuck","0900949950",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.66
"New Britain","0900350440",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",26.77
"New Canaan","0900150580",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.02
"New Fairfield","0900150860",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.91
"New Hartford","0900551350",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.84
"New Haven","0900952070",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",20.26
"New London","0901152350",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",25.95
"New Milford","0900552630",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.46
"Newington","0900352140",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.57
"Newtown","0900152980",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.65
"Norfolk","0900553470",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.71
"North Branford","0900953890",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.05
"North Canaan","0900554030",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.8
"North Haven","0900954870",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.22
"North Stonington","0901155500",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.41
"Norwalk","0900156060",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.58
"Norwich","0901156270",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.4
"Old Lyme","0901157040",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.61
"Old Saybrook","0900757320",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.69
"Orange","0900957600",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4
"Oxford","0900958300",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.95
"Plainfield","0901559980",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.77
"Plainville","0900360120",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.12
"Plymouth","0900560750",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.17
"Pomfret","0901561030",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.81
"Portland","0900761800",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.5
"Preston","0901162150",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",0.26
"Prospect","0900962290",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.48
"Putnam","0901562710",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.96
"Redding","0900163480",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.27
"Ridgefield","0900163970",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.25
"Rocky Hill","0900365370",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.38
"Roxbury","0900565930",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.24
"Salem","0901166210",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.49
"Salisbury","0900566420",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.24
"Scotland","0901567400",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.84
"Seymour","0900967610",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.73
"Sharon","0900567960",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.14
"Shelton","0900168170",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.21
"Sherman","0900168310",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.88
"Simsbury","0900368940",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.66
"Somers","0901369220",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.53
"South Windsor","0900371390",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.55
"Southbury","0900969640",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.48
"Southington","0900370550",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.77
"Sprague","0901171670",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.48
"Stafford","0901372090",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.82
"Stamford","0900173070",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.64
"Sterling","0901573420",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.28
"Stonington","0901173770",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",16.61
"Stratford","0900174190",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.21
"Suffield","0900374540",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.49
"Thomaston","0900575730",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.66
"Thompson","0901575870",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.42
"Tolland","0901376290",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.04
"Torrington","0900576570",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14
"Trumbull","0900177200",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.01
"Vernon","0901378250",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.78
"Voluntown","0901178600",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.61
"Wallingford","0900978740",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.75
"Warren","0900579510",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.26
"Washington","0900579720",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.24
"Waterbury","0900980070",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",18.11
"Waterford","0901180280",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.02
"Watertown","0900580490",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.3
"West Hartford","0900382590",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.47
"West Haven","0900982870",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.39
"Westbrook","0900781680",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.02
"Weston","0900183430",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.05
"Westport","0900183500",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.01
"Wethersfield","0900384900",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.72
"Willington","0901385950",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.71
"Wilton","0900186370",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.36
"Winchester","0900586440",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.96
"Windham","0901586790",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",18.28
"Windsor","0900387000",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.87
"Windsor Locks","0900387070",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.2
"Wolcott","0900987560",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.39
"Woodbridge","0900987700",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.7
"Woodbury","0900587910",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.08
"Woodstock","0901588190",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.65
"Andover","0901301080",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.82
"Ansonia","0900901220",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.25
"Ashford","0901501430",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.96
"Avon","0900302060",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.99
"Barkhamsted","0900502760",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4
"Beacon Falls","0900903250",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.71
"Berlin","0900304300",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.6
"Bethany","0900904580",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.6
"Bethel","0900104720",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.78
"Bethlehem","0900504930",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.22
"Bloomfield","0900305910",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.85
"Bolton","0901306260",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.57
"Bozrah","0901106820",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.44
"Branford","0900907310",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.68
"Bridgeport","0900108070",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",25.35
"Bridgewater","0900508210",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.68
"Bristol","0900308490",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.12
"Brookfield","0900108980",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",1.88
"Brooklyn","0901509190",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.81
"Burlington","0900310100",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.41
"Canaan","0900510940",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.58
"Canterbury","0901512130",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.54
"Canton","0900312270",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.53
"Chaplin","0901513810",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.33
"Cheshire","0900914160",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.1
"Chester","0900714300",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.2
"Clinton","0900715350",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.76
"Colchester","0901115910",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.02
"Colebrook","0900516050",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.88
"Columbia","0901316400",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.15
"Connecticut","09",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.46
"Cornwall","0900517240",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.92
"Coventry","0901317800",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.82
"Cromwell","0900718080",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.53
"Danbury","0900118500",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.96
"Darien","0900118850",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.58
"Deep River","0900719130",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.44
"Derby","0900919550",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.23
"Durham","0900720810",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.62
"East Granby","0900322070",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.77
"East Haddam","0900722280",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.2
"East Hampton","0900722490",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.88
"East Hartford","0900322630",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",18.9
"East Haven","0900922910",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.96
"East Lyme","0901123400",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.91
"East Windsor","0900324800",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.14
"Eastford","0901521860",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.92
"Easton","0900123890",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.24
"Ellington","0901325360",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.53
"Enfield","0900325990",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.3
"Essex","0900726270",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.12
"Fairfield","0900126620",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.4
"Farmington","0900327600",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.71
"Franklin","0901129910",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.47
"Glastonbury","0900331240",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.28
"Goshen","0900532290",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.7
"Granby","0900332640",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.61
"Greenwich","0900133620",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.99
"Griswold","0901133900",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.44
"Groton","0901134250",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.33
"Guilford","0900934950",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.89
"Haddam","0900735230",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.3
"Hamden","0900935650",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.06
"Hampton","0901536000",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.12
"Hartford","0900337070",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",25.15
"Hartland","0900337140",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.64
"Harwinton","0900537280",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.41
"Hebron","0901337910",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.47
"Kent","0900540290",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.18
"Killingly","0901540500",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",15.99
"Killingworth","0900740710",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.3
"Lebanon","0901142390",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.84
"Ledyard","0901142600",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.13
"Lisbon","0901143230",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.93
"Litchfield","0900543370",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.47
"Lyme","0901144210",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.47
"Madison","0900944560",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.59
"Manchester","0900344700",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.33
"Mansfield","0901344910",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6
"Marlborough","0900345820",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.59
"Meriden","0900946520",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",16.08
"Middlebury","0900946940",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.63
"Middlefield","0900747080",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.62
"Middletown","0900747360",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.04
"Milford","0900947535",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.38
"Monroe","0900148620",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.08
"Montville","0901148900",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.86
"Morris","0900549460",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.7
"Naugatuck","0900949950",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",13.89
"New Britain","0900350440",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",24.75
"New Canaan","0900150580",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.28
"New Fairfield","0900150860",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.94
"New Hartford","0900551350",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.45
"New Haven","0900952070",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",16.15
"New London","0901152350",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",18.84
"New Milford","0900552630",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.47
"Newington","0900352140",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.44
"Newtown","0900152980",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.92
"Norfolk","0900553470",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.5
"North Branford","0900953890",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.17
"North Canaan","0900554030",2013,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",14.75
